YEAR,MO,DY,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M
1990,1,1,98.0,2.74,3.48,2.2,1.29,110.12,3.9,5.17,2.95,2.23,110.69
1990,1,2,97.84,3.95,5.38,3.16,2.21,257.62,6.34,7.85,4.21,3.64,257.75
1990,1,3,97.98,4.71,6.84,3.42,3.41,287.0,7.41,9.43,5.44,3.98,287.38
1990,1,4,98.36,4.02,6.16,1.82,4.34,303.38,5.88,8.83,2.58,6.25,303.75
1990,1,5,98.47,1.63,2.12,0.83,1.3,120.31,2.12,3.08,1.15,1.93,120.38
1990,1,6,98.47,2.45,3.18,1.63,1.55,68.38,3.4,5.16,1.74,3.42,68.69
1990,1,7,98.63,2.85,4.61,0.23,4.38,89.19,4.62,7.59,0.25,7.34,88.19
1990,1,8,98.94,4.73,6.97,3.25,3.71,236.56,7.2,9.47,4.75,4.72,236.81
1990,1,9,99.05,5.24,7.88,3.59,4.27,209.06,7.65,9.45,5.55,3.9,209.5
1990,1,10,98.91,4.59,6.11,3.09,3.02,178.19,6.92,9.44,5.59,3.84,178.5
1990,1,11,98.79,4.81,7.46,3.53,3.93,130.0,7.48,8.49,5.2,3.3,130.5
1990,1,12,98.68,3.67,4.98,2.11,2.88,232.0,5.62,7.36,3.32,4.04,217.31
1990,1,13,98.62,4.62,6.73,3.34,3.4,339.25,7.4,8.96,4.59,4.37,339.62
1990,1,14,98.53,4.33,6.12,3.12,3.01,346.44,6.69,8.77,4.34,4.43,346.62
1990,1,15,98.65,3.3,5.03,2.52,2.52,99.75,4.98,7.12,3.37,3.75,99.81
1990,1,16,98.77,2.91,4.13,2.12,2.01,239.38,4.11,4.88,2.94,1.94,239.44
1990,1,17,98.67,3.23,4.34,2.12,2.21,83.44,4.7,6.55,2.95,3.59,98.25
1990,1,18,98.69,3.52,4.92,2.16,2.76,64.0,5.12,6.64,3.16,3.49,63.62
1990,1,19,98.67,1.3,2.64,0.37,2.27,146.06,1.73,4.02,0.4,3.62,146.0
1990,1,20,98.63,2.82,3.67,1.79,1.88,30.31,4.3,7.14,2.34,4.8,30.19
1990,1,21,98.68,4.38,6.2,3.31,2.89,7.62,6.82,8.84,4.82,4.02,7.81
1990,1,22,98.75,4.59,6.53,3.16,3.37,70.94,6.82,7.97,4.38,3.59,71.12
1990,1,23,98.66,3.89,5.1,2.85,2.25,16.88,5.91,7.84,3.86,3.98,17.12
1990,1,24,98.44,3.42,4.64,2.52,2.11,39.81,5.52,7.15,3.38,3.76,40.31
1990,1,25,98.25,2.84,4.03,1.05,2.98,88.31,4.55,5.94,1.48,4.46,88.62
1990,1,26,98.18,3.05,5.45,0.12,5.33,202.69,5.21,8.43,0.12,8.3,202.5
1990,1,27,98.45,5.65,7.86,3.7,4.16,313.5,8.29,9.6,5.97,3.63,313.81
1990,1,28,98.84,6.52,8.71,4.47,4.24,109.31,9.02,10.03,8.09,1.94,109.94
1990,1,29,98.77,4.34,7.59,2.7,4.88,49.38,6.38,8.57,4.17,4.4,49.75
1990,1,30,98.35,3.12,6.75,1.3,5.45,171.81,4.28,7.67,1.84,5.84,172.19
