YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,RH2M
1990,1,1,13.92,1.54,7.73,12.9,13.58,21.58,8.0,47.38
1990,1,2,16.01,1.2,8.61,15.39,12.37,23.33,10.96,38.38
1990,1,3,12.61,6.3,9.45,12.76,12.31,19.23,6.91,67.12
1990,1,4,11.1,3.58,7.34,10.9,11.63,17.65,6.01,63.62
1990,1,5,11.48,0.3,5.89,9.97,10.32,17.48,7.16,47.5
1990,1,6,11.33,-0.38,5.48,10.51,14.41,19.2,4.78,47.5
1990,1,7,11.64,1.36,6.5,11.76,14.28,20.21,5.93,52.25
1990,1,8,10.23,3.56,6.9,10.45,12.54,17.0,4.45,66.38
1990,1,9,9.23,2.19,5.71,9.69,9.47,15.22,5.75,66.06
1990,1,10,7.85,0.79,4.32,8.22,10.65,13.55,2.9,64.12
1990,1,11,8.43,0.21,4.32,8.71,11.87,14.81,2.94,58.56
1990,1,12,7.73,-1.65,3.05,7.81,11.88,14.8,2.91,54.38
1990,1,13,9.53,0.83,5.18,9.65,13.25,17.04,3.8,57.25
1990,1,14,8.8,2.94,5.87,9.11,12.35,15.51,3.15,69.5
1990,1,15,9.0,2.11,5.55,9.1,12.86,15.91,3.05,65.38
1990,1,16,10.76,2.92,6.84,10.38,12.65,18.11,5.45,60.75
1990,1,17,10.58,3.14,6.86,10.51,12.56,17.85,5.28,62.44
1990,1,18,8.69,1.45,5.07,8.7,12.67,15.71,3.04,63.88
1990,1,19,10.49,-1.43,4.53,9.02,11.41,16.23,4.82,45.69
1990,1,20,11.77,-0.8,5.48,11.62,13.16,19.12,5.96,44.25
1990,1,21,11.49,2.63,7.06,11.81,12.49,18.59,6.1,56.25
1990,1,22,9.05,1.13,5.09,9.44,10.85,14.44,3.58,59.88
1990,1,23,9.87,1.34,5.6,10.61,10.7,15.65,4.94,58.31
1990,1,24,11.65,1.35,6.51,11.91,11.27,17.36,6.08,50.56
1990,1,25,13.21,0.73,6.97,12.8,9.28,18.63,9.35,43.12
1990,1,26,14.17,4.87,9.52,14.63,12.09,21.96,9.87,56.31
1990,1,27,11.42,5.08,8.25,11.8,11.61,17.49,5.88,66.12
1990,1,28,11.36,5.05,8.2,11.84,9.9,17.12,7.22,67.88
1990,1,29,9.73,1.89,5.81,9.94,14.09,17.51,3.43,61.75
1990,1,30,12.55,-1.62,5.47,11.57,16.77,20.94,4.16,39.56
1990,1,31,11.51,-1.79,4.87,11.5,14.49,19.95,5.46,41.56
1990,2,1,11.77,1.65,6.72,12.12,14.59,19.53,4.94,53.5
1990,2,2,11.9,4.97,8.44,12.44,13.12,18.77,5.65,65.94
1990,2,3,11.93,3.65,7.79,12.56,12.05,18.39,6.34,59.94
1990,2,4,11.94,5.98,8.97,13.06,8.62,16.5,7.87,68.81
1990,2,5,10.58,3.76,7.17,11.37,10.46,15.92,5.45,64.94
1990,2,6,10.28,1.19,5.73,10.91,11.84,16.73,4.9,56.69
1990,2,7,10.08,-0.52,4.78,10.5,12.84,16.83,3.99,51.31
1990,2,8,11.23,-1.84,4.7,10.64,11.98,18.2,6.23,42.12
1990,2,9,10.17,2.13,6.15,10.68,13.67,17.09,3.42,62.0
1990,2,10,10.36,2.49,6.43,10.87,12.71,17.4,4.69,61.94
1990,2,11,9.76,-2.27,3.74,9.9,13.53,17.05,3.51,46.75
1990,2,12,11.24,0.99,6.12,10.97,13.59,18.16,4.58,51.5
1990,2,13,12.9,-1.89,5.5,12.14,15.26,20.96,5.7,38.81
1990,2,14,13.74,-2.13,5.8,13.8,13.79,21.52,7.73,34.56
1990,2,15,13.05,5.87,9.47,13.8,14.27,20.44,6.17,65.12
1990,2,16,14.52,1.93,8.23,14.43,14.76,22.72,7.96,47.38
1990,2,17,15.28,-1.35,6.97,15.05,15.95,24.07,8.12,34.12
1990,2,18,15.08,4.52,9.8,15.62,14.54,22.66,8.12,51.56
1990,2,19,10.5,-0.74,4.87,11.44,10.21,16.08,5.87,49.12
1990,2,20,9.55,-1.04,4.26,10.55,13.51,16.53,3.02,50.69
1990,2,21,10.58,0.93,5.75,11.48,14.05,17.94,3.89,54.94
1990,2,22,10.59,0.91,5.75,11.44,13.29,17.61,4.32,54.56
1990,2,23,10.87,0.22,5.54,12.04,14.43,18.53,4.1,52.69
1990,2,24,9.69,1.26,5.48,10.37,11.81,15.69,3.87,58.62
1990,2,25,10.08,-0.19,4.94,10.82,13.83,17.34,3.51,52.5
1990,2,26,11.51,0.08,5.8,12.04,15.58,19.62,4.05,48.94
1990,2,27,12.48,-2.09,5.2,13.03,15.91,21.05,5.13,39.44
1990,2,28,13.19,-3.18,5.01,13.46,15.81,21.69,5.88,35.31
1990,3,1,13.48,-4.01,4.73,13.78,14.47,21.84,7.38,31.62
1990,3,2,14.64,-3.03,5.8,14.43,15.38,22.75,7.37,31.81
1990,3,3,16.37,-2.99,6.69,15.57,14.91,24.73,9.83,27.56
1990,3,4,16.09,0.24,8.16,16.7,17.45,25.15,7.71,37.19
1990,3,5,14.96,5.27,10.12,15.64,13.44,21.98,8.55,56.12
1990,3,6,12.16,2.6,7.38,13.19,11.88,18.62,6.73,54.38
1990,3,7,11.13,-0.04,5.55,12.29,14.09,18.58,4.49,50.06
1990,3,8,11.6,-0.67,5.46,12.62,14.52,19.17,4.65,44.94
1990,3,9,11.83,-0.33,5.75,12.69,13.7,19.03,5.33,46.38
1990,3,10,13.09,3.08,8.08,14.06,12.45,20.06,7.6,54.81
1990,3,11,12.65,-1.74,5.46,13.67,15.17,20.5,5.33,39.31
1990,3,12,11.02,0.87,5.94,11.79,9.24,16.13,6.89,51.75
1990,3,13,11.36,0.87,6.11,12.34,14.43,18.74,4.31,52.0
1990,3,14,13.73,0.01,6.87,14.53,16.28,22.02,5.74,42.81
1990,3,15,15.05,-2.19,6.43,15.84,17.84,24.27,6.43,34.19
1990,3,16,15.63,0.05,7.84,16.51,17.26,24.62,7.37,37.31
1990,3,17,16.19,2.47,9.33,17.15,16.23,24.64,8.41,45.5
1990,3,18,13.88,-1.45,6.22,14.8,14.12,21.28,7.16,38.25
1990,3,19,13.01,-1.59,5.71,14.01,14.93,20.77,5.84,40.31
1990,3,20,13.09,-0.56,6.26,14.29,15.09,20.84,5.75,43.44
1990,3,21,14.8,-0.72,7.05,15.84,16.59,23.4,6.82,38.81
1990,3,22,15.54,-1.9,6.82,16.65,15.91,23.82,7.91,32.56
1990,3,23,15.51,-1.33,7.09,16.72,14.99,23.17,8.18,34.19
1990,3,24,15.62,-0.95,7.33,16.9,15.11,23.36,8.25,34.56
1990,3,25,15.33,-3.43,5.94,16.31,16.05,23.42,7.37,29.5
1990,3,26,15.48,-4.24,5.62,16.42,16.84,23.88,7.05,27.31
1990,3,27,17.28,-6.95,5.16,18.03,15.89,25.84,9.95,19.94
1990,3,28,17.95,-6.08,5.94,18.63,19.06,27.36,8.3,20.94
1990,3,29,19.85,-6.85,6.5,20.43,16.98,28.45,11.48,17.06
1990,3,30,18.56,-2.37,8.09,19.11,15.98,27.26,11.29,25.56
1990,3,31,19.29,0.87,10.08,19.79,16.71,27.01,10.3,32.19
1990,4,1,16.94,1.87,9.4,17.74,10.45,22.97,12.51,39.81
1990,4,2,15.4,0.22,7.8,16.71,13.26,22.39,9.13,39.56
1990,4,3,15.58,-3.49,6.05,17.15,16.08,23.73,7.65,29.12
1990,4,4,17.66,-7.31,5.17,19.03,17.64,26.4,8.76,18.25
1990,4,5,19.44,-6.22,6.61,20.21,16.99,27.69,10.7,17.5
1990,4,6,20.96,-5.7,7.63,22.16,17.59,30.09,12.51,17.31
1990,4,7,20.75,-3.17,8.79,21.93,17.73,29.85,12.12,21.19
1990,4,8,22.53,-1.86,10.33,23.18,18.33,31.12,12.78,20.81
1990,4,9,25.72,-0.84,12.44,25.78,14.77,33.62,18.85,17.94
1990,4,10,29.18,-1.07,14.05,28.48,19.79,38.97,19.18,15.62
1990,4,11,29.78,-2.92,13.43,29.76,18.59,40.63,22.04,13.12
1990,4,12,24.03,1.99,13.01,25.25,13.92,31.58,17.65,24.44
1990,4,13,22.1,4.32,13.21,23.17,12.22,29.07,16.85,32.88
1990,4,14,22.42,2.1,12.26,23.65,13.28,29.39,16.11,27.69
1990,4,15,19.76,2.15,10.96,21.26,13.19,26.76,13.57,33.44
1990,4,16,18.46,-0.23,9.12,19.91,15.2,26.15,10.95,30.62
1990,4,17,20.48,-3.45,8.51,21.73,19.84,29.79,9.94,22.44
1990,4,18,24.0,-3.59,10.2,25.28,15.18,31.95,16.77,16.81
1990,4,19,24.44,0.23,12.33,25.86,15.69,32.21,16.52,21.19
1990,4,20,25.27,3.51,14.39,26.91,18.11,34.68,16.58,27.44
1990,4,21,27.04,9.34,18.19,28.69,15.34,35.87,20.52,35.75
1990,4,22,24.71,4.21,14.46,26.08,15.09,32.85,17.76,30.0
1990,4,23,22.75,-1.49,10.63,24.01,17.48,31.66,14.19,22.19
1990,4,24,24.22,1.58,12.9,25.75,19.52,34.39,14.87,25.62
1990,4,25,27.92,4.57,16.25,28.8,18.03,36.76,18.73,23.56
1990,4,26,28.21,3.04,15.62,29.44,15.9,36.45,20.55,20.88
1990,4,27,28.31,4.38,16.35,29.15,15.98,35.98,20.01,24.5
1990,4,28,24.76,3.96,14.37,25.77,12.39,30.96,18.57,26.88
1990,4,29,20.63,-1.55,9.55,22.33,11.95,26.8,14.85,24.06
1990,4,30,20.44,0.72,10.58,22.21,14.9,27.69,12.79,29.0
1990,5,1,21.6,3.57,12.58,23.24,14.62,28.69,14.07,32.12
1990,5,2,20.17,-1.49,9.34,21.7,12.44,26.72,14.28,25.31
1990,5,3,20.62,1.73,11.17,22.31,12.31,26.94,14.62,29.81
1990,5,4,21.18,1.92,11.55,22.8,12.77,27.62,14.85,29.06
1990,5,5,20.89,2.19,11.54,22.27,13.99,28.07,14.08,30.62
1990,5,6,22.56,2.5,12.53,24.5,15.05,30.24,15.19,28.12
1990,5,7,23.24,7.41,15.33,25.5,15.17,32.05,16.88,38.81
1990,5,8,28.09,7.98,18.03,28.93,17.96,36.98,19.02,32.0
1990,5,9,30.53,6.22,18.37,31.19,15.39,38.4,23.02,22.88
1990,5,10,23.55,4.12,13.83,25.31,12.15,30.02,17.87,31.62
1990,5,11,21.19,0.09,10.64,22.89,15.23,28.93,13.7,26.81
1990,5,12,21.22,-0.87,10.17,22.93,15.73,29.0,13.27,25.5
1990,5,13,24.38,-5.1,9.65,26.35,19.42,33.64,14.22,15.56
1990,5,14,28.74,-5.9,11.42,29.55,18.55,38.51,19.95,10.62
1990,5,15,25.19,1.76,13.48,26.57,16.38,33.48,17.09,23.94
1990,5,16,25.33,1.9,13.62,27.37,16.44,33.34,16.9,23.56
1990,5,17,25.93,2.08,14.01,27.56,17.07,34.07,17.0,22.5
1990,5,18,26.82,2.75,14.79,29.13,18.15,35.67,17.52,23.38
1990,5,19,26.43,3.51,14.98,28.12,16.12,34.46,18.34,24.75
1990,5,20,25.18,2.41,13.8,26.85,13.92,32.13,18.22,24.5
1990,5,21,24.55,1.9,13.22,26.37,15.23,32.01,16.77,24.75
1990,5,22,24.26,4.23,14.24,25.99,13.89,31.01,17.12,29.12
1990,5,23,24.73,5.71,15.23,26.48,15.28,32.15,16.87,32.25
1990,5,24,24.18,3.32,13.75,25.95,15.67,31.87,16.2,28.06
1990,5,25,26.09,2.45,14.27,27.74,17.05,34.63,17.58,23.75
